,pH Level,pH Level-dec,Red,Green,Blue
121375,7,7.02,93,73,59
121378,7,7.25,100,77,64
121381,7,7.15,92,69,58
121382,7,6.88,104,84,68
121398,7,7.41,121,91,68
121408,7,7.15,153,106,75
121385,7,7.27,90,79,72
121386,7,7.38,105,93,84
121383,7,7.26,83,72,66
121374,7,7.21,84,72,63
121821,7,7.24,88,80,70
121462,7,7.4,97,80,59
121379,7,7.01,119,104,91
121384,7,7.22,125,110,96
121410,7,7.31,123,92,62
121377,7,7.01,122,111,95
121951,7,7.39,80,67,54
121372,7,6.79,102,84,71
121466,7,6.81,86,70,58
121938,7,6.8,101,81,68
121512,6,6.11,108,70,49
121591,6,6.29,127,77,41
121639,6,6.09,83,53,40
121699,6,6.08,121,88,60
121748,6,6.06,59,30,23
121890,6,6.44,89,62,49
121921,6,6.05,90,65,50
121605,6,6.44,75,62,55
121755,6,6.14,106,76,60
121504,6,6.09,80,59,48
121904,6,6.12,87,62,48
121949,6,6.21,111,101,97
121556,6,6.33,120,97,70
121789,6,6.48,136,114,87
121891,6,5.81,102,69,50
121839,6,5.97,95,63,43
121862,6,5.82,79,62,53
121495,6,5.74,105,75,52
121508,6,5.94,90,66,51
121594,6,5.95,80,70,65
121684,5,5.33,88,68,54
121808,5,5.44,132,89,54
121587,5,5.37,113,74,53
121897,5,5.06,115,80,61
121426,5,5.49,99,81,61
121550,5,5.21,117,81,52
121786,5,5.44,145,116,87
121816,5,5.44,126,90,64
121817,5,5.22,146,120,92
121705,5,5.36,143,111,79
121706,5,5.32,130,100,69
121729,5,5.15,143,106,70
121734,5,5.17,110,87,62
121516,5,4.86,108,77,59
121555,5,4.78,115,72,47
121656,5,4.77,133,91,62
121603,5,4.78,75,59,51
121607,5,4.75,69,52,44
121562,5,4.85,65,56,44
121405,5,4.98,159,120,74
121564,4,4.24,104,63,44
121652,4,3.96,138,90,53
121654,4,4.19,124,82,54
121676,4,4.28,120,78,54
121653,4,4.17,148,100,72
121674,4,4.27,77,60,51
121418,4,4.23,161,114,71
121552,4,4.45,138,90,53
121651,4,3.68,138,101,72
121781,4,4.19,171,120,55
121420,4,3.91,92,72,52
121669,4,3.93,81,67,50
121678,4,4.14,121,90,62
121741,4,4.27,146,105,66
121742,4,4.46,132,97,59
121679,4,4.22,120,97,70
121484,4,4.26,92,75,72
121491,4,4.14,90,68,55
121650,4,4.05,117,82,61
121520,4,4.09,127,84,49
